NODCCODE,Scientificname,Commonname
8762010101,Aulopus filamentosus,Yellowfin Aulopus
8762020000,Synodontidae spp.,.
8762020100,Synodus spp.,.
8762020101,Synodus foetens,Inshore Lizardfish
8762020102,Synodus intermedius,Sand Diver
8762020104,Synodus poeyi,Offshore Lizardfish
8762020105,Synodus saurus,Bluestripe Lizardfish
8762020106,Synodus synodus,Red Lizardfish
8762020199,Synodus macrostigmus,Largespot Lizardfish
8762020300,Saurida spp.,.
8762020301,Saurida brasiliensis,Largescale Lizardfish
8762020302,Saurida caribbaea,Smallscale Lizardfish
8762020303,Saurida normani,Shortjaw Lizardfish
8762020400,Trachinocephalus spp.,.
8762020401,Trachinocephalus myops,Snakefish
8762040100,Chlorophthalmus spp.,.
8762040101,Chlorophthalmus agassizi,Shortnose Greeneye
8762040200,Parasudis spp.,.
8762040201,Parasudis truculenta,Longnose Greeneye
8762090100,Alepisaurus spp.,.
8762090102,Alepisaurus ferox,Longnose Lancetfish
8768010000,Ipnopidae spp.,.
8768010100,Bathytyphlops spp.,.
8768010101,Bathytyphlops marionae,Marion's Spiderfish
8774010000,Characidae spp.,.
8774011200,Aphyocharax spp.,Tetras
8774011201,Aphyocharax anasitsi,Bloodfin Tetra
8774110000,Anostomidae spp.,.
8776010000,Cyprinidae spp.,Carps and Minnows
8776010100,Cyprinus spp.,Carps
8776010101,Cyprinus carpio,Common Carp
8776010300,Carassius spp.,.
8776010301,Carassius auratus,Goldfish
8776010500,Hybognathus spp.,.
8776010506,Hybognathus hayi,Cypress Minnow
8776010600,Notemigonus spp.,.
8776010601,Notemigonus crysoleucas,Golden Shiner
8776010800,Semotilus spp.,.
8776010802,Semotilus thoreauianus,Creek Chub
8776011000,Nocomis spp.,.
8776011002,Nocomis leptocephalus,Bluehead Chub
8776011100,Notropis spp.,Notropis Shiners
8776011104,Notropis chalybaeus,Ironcolor Shiner
8776011124,Notropis texanus,Weed Shiner
8776011137,Notropis baileyi,Rough Shiner
8776011157,Notropis cummingsae,Dusky Shiner
8776011166,Notropis harperi,Redeye Chub
8776011176,Notropis longirostris,Longnose Shiner
8776011178,Notropis maculatus,Taillight Shiner
8776011185,Notropis petersoni,Coastal Shiner
8776011200,Hybopsis spp.,.
8776011220,Hybopsis winchelli,Clear Chub
8776011600,Pimephales spp.,.
8776011602,Pimephales promelas,Fathead Minnow
8776012300,Ctenopharyngodon spp.,.
8776012301,Ctenopharyngodon idella,Grass Carp
